#{"t_start": 1626100784.5870004, "env_id": "RoboSkateSegmentation-v0"}
r,l,t
109.05545,1000,29654.914177
87.542115,439,29689.523521
120.025901,1000,29768.969136
102.173863,1000,29848.393415
66.27758,440,29883.133579
129.247866,1000,29961.932777
127.179144,290,29984.306571
148.616243,1000,30063.755827
155.561614,1000,30140.758368
73.031341,1000,30219.844443
169.536488,1000,30298.396028
60.778862,1000,30681.989663
255.727571,1000,30760.664785
126.95119,1000,30839.867248
171.290119,1000,30917.724037
139.910153,320,30943.086203
-47.978833,1000,31022.523909
84.355292,176,31037.017325
119.638284,1000,31114.301431
-43.518263,213,31132.49791
112.401759,380,31162.549315
6.825686,1000,31241.728986
89.700518,604,31290.983316
1.940629,1000,31368.347433
95.768464,1000,31716.094311
-23.989245,372,31746.487248
81.043543,297,31769.284626
27.974645,1000,31847.664856
125.205544,1000,31926.233204
84.450911,1000,32003.204453
156.386354,546,32046.794971
100.63999,192,32062.831875
87.42562,291,32085.584989
-18.917024,475,32123.957056
-38.592919,1000,32201.783797
138.885309,1000,32280.225585
138.955083,1000,32359.362509
128.571467,579,32404.584687
166.702672,1000,32764.341855
230.609035,1000,32842.806818
90.998174,1000,32921.214527
140.660815,1000,32999.34594
132.749504,1000,33077.153905
162.453872,1000,33155.787081
242.051049,1000,33234.955971
158.177857,821,33299.314993
126.56264,1000,33377.148926
152.73376,1000,33457.505291
133.540625,1000,33797.192525
146.800475,1000,33874.678964
122.388316,1000,33953.653961
100.47926,1000,34032.166685
201.917472,1000,34111.147101
158.693724,1000,34190.627495
144.150571,1000,34268.077566
-7.396516,1000,34347.745611
136.599233,1000,34426.35755
163.051961,1000,34503.970685
135.163235,1000,34889.29517
114.328253,1000,34967.545001
113.828502,1000,35045.333766
300.781558,1000,35124.534238
123.802262,381,35155.656386
141.131486,1000,35232.15076
46.670487,1000,35311.711738
32.560005,188,35326.930673
134.222056,1000,35405.4435
132.223864,1000,35483.559139
129.948933,1000,35562.909656
20.846259,343,35589.588809
23.128962,1000,35976.117117
138.08292,1000,36054.10413
203.620107,1000,36133.299536
165.84626,1000,36211.561783
166.226418,1000,36289.689683
292.617118,1000,36367.881111
78.334602,1000,36446.821331
210.630948,1000,36524.457693
172.069708,1000,36602.687719
142.428057,1000,36680.944622
55.11128,1000,36983.755409
259.096152,1000,37062.902346
185.722102,886,37132.243951
